Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_350:0000155,BYDVinc_E_g,,Characterization in pedigree nurseries and evaluation in trials,Pre-harvest,,,"Oat Global, T3",,,EN,Oat,CO_350:0000081,Barley yellow dwarf virus incidence,Biotic stress,Percentage of plants in a plot showing symptoms of barley yellow dwarf virus.,,BYDV incidence,,Plant,Barley yellow dwarf virus incidence,,,CO_350:0000082,Disease incidence observation,Estimation,Visual assessment of the percentage of plants in a plot showing symptoms of a specific disease.,,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000156,BeGlCnt_C_%,,Evaluation in trials,Post-harvest,,,"Oat Global, T3",,,EN,Oat,CO_350:0000036,Beta-glucan content,Biochemical,Amount of beta-glucan present in the groat expressed as a percentage of the entire groat.,,BeGlCnt,,Groat,Beta-glucan content,,,CO_350:0000037,Beta-glucan content determination,Computation,Measurement of beta glucan content on a dry weight basis using a lichenase enzymatic procedure.,,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000157,BrGrt_Ct_%,,Characterization in pedigree nurseries,Post-harvest,,,"Oat Global, T3",,,EN,Oat,CO_350:0000039,Broken groats,Quality,"The amount of broken groats after de-hulling, expressed as a percentage of the weight of the entire whole grain sample.",,BrGrt,,Groat,Broken,,,CO_350:0000040,Broken groats determination,Computation,"Computation of the percentage of broken groats by weight after dehulling. calculated as the weight of broken groats divided by the total groat weight, multiplied by 100.",,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000158,DietFibCnt_C_%,,Evaluation in trials,Post-harvest,,,"Oat Global, T3",,,EN,Oat,CO_350:0000042,Dietary fiber content,Biochemical,Dietary fiber content,,DietFibCnt,,Groat,Dietary fiber content,,,CO_350:0000043,Dietary fiber content determination,Computation,Computation of total dietary fiber content  on a dry weight basis using wet chemistry.,,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000159,FusHBInc_E_%,,Characterization in pedigree nurseries and evaluation in trials,Pre-harvest,,,Oat Global,,,EN,Oat,CO_350:0000093,Fusarium head blight incidence,Biotic stress,Percentage of plants in a plot showing Fusarium head blight symptoms.,,FHB incidence,,Plant,Fusarium head blight incidence,,,CO_350:0000082,Disease incidence observation,Estimation,Visual assessment of the percentage of plants in a plot showing symptoms of a specific disease.,,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000160,GrPlum_E_%,,Characterization in pedigree nurseries and evaluation in trials,Post-harvest,,,Oat Global,,,EN,Oat,CO_350:0000066,Grain plumpness,Morphological,"The amount of a grain sample that does not pass through the holes of a sieve of defined size, expressed as a percentage weight of the entire sample.",,GrPlum,,Grain,Plumpness,,,CO_350:0000067,Plump grain determination,Estimation,,,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000161,GrPtnCnt_C_%,,Evaluation in trials,Post-harvest,,,"Oat Global, T3",,,EN,Oat,CO_350:0000048,Grain protein content,Biochemical,"The amount of protein in the grain, expressed as a percentage of the whole grain.",,GrPtnCnt,,Grain,Protein content,,,CO_350:0000049,Grain protein content determination,Computation,Computation of the percentage of protein in the whole grain as obtained using near-infrared spectroscopy (NIR).,,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000162,GrtCnt_M_%,,Evaluation in trials,Post-harvest,,,"Oat Global, T3",,,EN,Oat,CO_350:0000009,Groat content,Agronomic,Groat content,,GrtCnt,,Groat,Content,,,CO_350:0000010,Groat content determination (machine dehulled),Computation,"Calculated as the weight of the groat divided by the weight of the whole grain, multiplied by 100. Kernels are typically dehulled using a Codema oat dehuller, which processes a 50 gram sample.",,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000163,GrtOilCnt_C_%,,Evaluation in trials,Post-harvest,,,"Oat Global, T3",,,EN,Oat,CO_350:0000051,Groat oil content,Biochemical,"The amount of oil in the groat, expressed as a percentage of the groat.",,GrtOilCnt,,Groat,Oil content,,,CO_350:0000052,Groat oil content determination,Computation,Computation of the percentage of oil in the groat.,,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
,CO_350:0000164,GrtPtnCnt_C_%,,Evaluation in trials,Post-harvest,,,"Oat Global, T3",,,EN,Oat,CO_350:0000054,Groat protein content,Biochemical,"The amount of protein in the groat, expressed as a percentage of the groat.",,GrtPtnCnt,,Groat,Protein content,,,CO_350:0000055,Groat protein content determination,Computation,Computation of the percentage of protein in the groat.,,,CO_350:0000011,percent,Numerical,2,0,100,,,,,,,,,,,
